Word,Meaning
aber,لكن
abfahren,to depart
abholen,يُحْضر
abnehmen,يخس
abtrocknen,يجفف
abwaschen,يغسل الأواني
ähnlich,"similar, like"
allein,وحيدا
allerdings,"certainly, بلا شك"
alt,قديم
am ort und stelle,على الطبيعة
an der reihe,عليه الدور
anbieten,يمد، to provide
anfangen,يبدأ
angenehm,مريح
anhören,يستمع إلى
ankündigen,ينوه عن
annehmen,accept
anschalten,يشغل جهاز
ansehen,ينظر بمشاهدة
anstellen,يوظف، يعين بوظيفة
antworten,يجيب
anziehen,يرتدي ملابس
arbeiten,يعمل
auch,أيضا
aufhängen,يعلق شئ
aufmachen,يفتح
aufräumen,"يروق, يرتب"
aufstehen,يقف
aufwachen,يستيقظ
aufwiedersehen,إلى اللقاء
aus,من
auseinandernehmen,يفكك
ausführen,ينفذ، يؤدي
ausgeben,to spend (money)
ausleeren,يُفْرغ
ausmachen,to turn off
ausschalten,يطفئ جهاز
außerdem,بالإضافة إلى
aussteigen,يغادر مركبة
ausverkauft,بيع بالكامل
ausziehen,يخلع ملابس
bauen,يبني
beantragen,يقدم طلبا
bedanken,يتشكر
bedeuten,يعني
beeilen,to hurry up
begeistert,معجب
begleiten,يصطحب
beklagen,يشكو
bekommen,يحصل على
beliebt,محبب، مفضل
bemühen,يسعى
benutzen,يستخدم
berühmt,مشهور
beschäftigen,ينشغل
besichtigen,يشاهد، يعاين 
besonders,على الأخص
besorgen,يجلب، يشتري
bestehen auf,to insist on
bestehen aus,consist of
bestellen,يطلب ، to order
besuchen,يزور
beten,يصلي
betrachten,يحدق
bewerben,يقدم على، يرشح نفسه
bezahlen,يسدد ثمن ، يدفع 
bieten,يعرض، to offer
billig,رخيص
bis bald,see you soon
bitten,يستسمح، يترجى
bitter,مُر
blau,أزرق
bleiben,يمكث
blöd,stupid
böse,angry
brauchen,يحتاج
braun,بني
brechen,يكسر
bringen,يُحضر
bügeln,يكوي
dafür,بذلك
dämlich,غبي
danke,شكرا
danken,يشكر
dann,ثم
darstellen,يعرض
darum,لذلك
das abendessen,العشاء
das abitur,امتحان الثانوية
das alter,العمر
das altertum,آثار، قديم
das arbeitszimmer,حجرة العمل
das ausrufezeichen,علامة تعجب
das auto,سيارة
das bad,الحمام
das besteck,أدوات الطهي
das bett,سرير
das bild,صورة
das blatt,ورقة شجر
das brot,خبز
das brötchen,خبز صغير
das buch,كتاب
das büro,مكتب أو مكان العمل
das datum,تاريخ
das dorf,قرية
das drittel,الثلث
das ei,بيضة
das ende,نهاية
das ergebnis,النتيجة
das erlebnis,معايشة
das eßzimmer,حجرة الطعام
das fach,مادة دراسية
das fahrrad,دراجة
das feld,حقل
das fenster,نافذة
das fernshen,التلفزيون
das fest,عيد
das fieber,حمى
das fleich,لحم
das flugzeug,طائرة
das fragezeichen,علامة استفهام
das frühstück,الافطار
das gasthaus,مطعم
das gebirge,سلسلة جبال
das gehalt,المرتب
das geld,مال
das gemüse,خضار
das gerät,جهاز
das gesang,الغناء
das geschäft,محل تجاري
das geschenk,هدية
das geschirr,أواني الطهي
das gesicht,face
das getränke,مشروب
das glas,كأس
das gleis,رصيف
das glück,حظ
das gut,بضاعة
das gymnasium,مرحلة الثانوية
das haar,شعر
das hähnchen,chicken
das haus,منزل
das heft,كراسة
das herz,قلب
das hobby,هواية
das hörspiel,تمثيلية إذاعية
das jahr,سنة
das kassettengerät,جهاز كاسيت
das kind,طفل
das kinderzimmer,حجرة الأطفال
das kino,سينما
das kissen,pillow
das kleid,فستان
das kommt darauf an,على حسب
das konzert,حفل موسيقي
das kostüm,زي
das krankenhaus,مستشفى
das lager,معسكر
das land,بلد ، قطر
das leben,الحياة
das leder,جلد
das licht,ضوء
das lied,أغنية
das lineal,مسطرة
das mädchen,فتاة
das massenmedium,وسيلة اعلام
das meer,بحر
das messer,سكينة
das mittagessen,الغداء
das motorrad,موتوسيكل
das museum,متحف
das obst,فاكهة
das paar,pair
das parlament,برلمان
das pferd,horse
das problem,مشكلة
das publikum,الجمهور
das radio,الراديو
das rathaus,مقر البلدية
das regal,رف
das salz,ملح
das schaufenster,فاترينة
das schiff,سفينة
das schlafzimmer,حجرة النوم
das schloß,قصر
das semester,فصل دراسي
das sofa,أريكة
das sonderangebot,عرض خاص
das spiel,game
das spielzeug,لعبة
das stadion,ستاد
das stipendium,منحة دراسية
das stockwerk,طابق
das straßenleben,الحياة العامة
das tagebuch,diary
das tal,وادي
das telefon,تليفون
das theater,مسرح
das thema,موضوع
das tier,حيوان
das tuch,منديل
das ufer,ضفة
das viertel,الربع
das visum,تأشيرة الفيزا
das wahrzeichen,شعار، علامة
das wasser,ماء
das weihnachten,عيد الكريسماس
das werk,مشغل، عمل
das wetter,الطقس
das wohnzimmer,حجرة المعيشة
das zentrum,مركز
das zeugnis,شهادة
das zimmer,حجرة
demnächst,"soon, upcoming"
denken,يفكر
der abend,evening
der aberglaube,wrong belief
der abstecher,رحلة قصيرة
der affe,monkey
der aktenvernichter,shredder
der anfang,start
der anlass,occasion
der ansager,مذيع
der antrag,طلب
der anzug,suit
der apfel,apple
der apfelsin,orange
der apotheker,صيدلي
der apparat,جهاز
der arbeiter,عامل
der arm,arm
der artikel,مقال، أداة
der arzt,طبيب
der aufschnitt,cold sliced meat
der ausdruck,expression
der ausländer,أجنبي
der ausweis,بطاقة الهوية
der automechaniker,ميكانيكي
der autor,أديب
der bäcker,خباز
der bahnhof,محطة القطار
der bahnsteig,رصيف المحطة
der ball,ball
der bauch,abdomen - بطن
der bauer,farmer
der bauernhof,farm
der baum,شجرة
der bedarf,"need, demand"
der befehl,"instruction, command"
der beginn,beginning
der begriff,concept
der beleg,ايصال
der berg,جبل
der bericht,تقرير
der beruf,وظيفة، مهنة
der bescheid,العلم بالشيء، الافادة
der besen,broom
der besucher,visitor
der betrieb,operation
der bildschirm,monitor
der bleistift,pencil
der blick,نظرة
der blumenkohl,قرنبيط
der blumentopf,flowerpot
der boden,ground
der brief,letter
der bruder,brother
der buchhalter,محاسب
der buchstabe,alphabit
der bürgermeister,العمدة
der bus,bus
der dichter,شاعر
der dienst,service
der direktor,مدير
der dom,كنيسة كبيرة
der durst,الظمأ
der einwohner,ساكن، نسمة
der elektriker,كهربائي
der enkel,حفيد
der entwurf,design
der esel,donkey
der fehler,"mistake, error"
der feierabend,انتهاء الدوام
der fernseher,tv
der film,film
der finger,finger
der fisch,سمك
der fleischer,butcher
der fleiß,الاجتهاد
der flug,رحلة طيران
der flughafen,airport
der flugschein,تذكرة الطائرة
der fluß,نهر
der freund,صديق
der friseur,حلاق
der frühling,spring
der füller,pen
der fuß,foot
der garten,garden
der gast,guest
der geburtstag,عيد الميلاد
der gedanke,فكرة
der gipfel,قمة
der glaube,belief
der großvater,grandfather
der grünkohl,كرنب
der gürtel,belt
der hals,neck
der hauptbahnhof,المحطة الرئيسية
der held,hero
der herbest,autumn
der herd,"stove, cooker"
der herr,mister
der heu,hay – قش
der himmel,السماء
der hinflug,رحلة ذهاب الطائرة
der hinweis,"clue, hint"
der hof,court
der honig,عسل
der hörer,المستمع
der hügel,هضبة
der hund,dog
der hunger,الجوع
der hut,hat
der Ingenieur,مهندس
der jäger,hunter
der journalist,صحفي
der junge,boy
der kaffee,قهوة
der kanton,مقاطعة
der käse,cheese
der käufer,buyer
der kellner,جرسون
der kiosk,كشك
der klavier,piano
der klub,club
der knoblauch,garlic - ثوم
der koffer,شنطة السفر
der kollege,colleague
der kommentar,تعليق
der könig,ملك
der kopf,head
der körper,body
der kreis,circle
der krimi,mystery story
der kuchen,cake
der kugelschreiber,pen
der kühlschrank,refrigerator
der kuli,ballpoint pen
der künstler,artist
der lehrer,teacher
der lehrling,صبي حرفة
der leser,القارئ
der locher,خرامة
der löffel,spoon
der lohn,أجر
der magen,stomach
der makler,سمسار
der mantel,coat
der market,market
der matrose,sailor
der maurer,bricklayer - بناء
der meister,استاذ، اسطى
der mensch,انسان
der mittag,midday
der monat,month
der morgen,morning
der motor,موتور
der mund,mouth
der nachteil,disadvantage
der nachtisch,appetizer
der name,name
der nebel,fog
der nordern,north
der nordpol,القطب الشمالي
der notfall,emergency
der onkel,uncle
der ort,مكان
der osten,east
der palast,قصر
der papagei,parrot
der papierkorb,waster basket
der paprika,pepper - فلفل
der park,متنزه
der paß,جواز السفر
der patient,patient
der pfirisch,peach - خوخ
der platz,ميدان، مكان
der preis,price
der pulli,pullover
der punkt,point
der radiergummi,استيكة
der rechner,computer
der regierungssitz,مقر الحكومة
der regisseur,director
der renter,retired man
der richter,judge
der rinderbraten,roast beef
der roman,novel
der rücken,back
der rückflug,رحلة عودة الطائرة
der rundfunk,الإذاعة
der saft,عصير
der salat,salad
der sänger,singer
der schach,chess
der schatz,treasure
der schauspieler,actor
der schinken,لحم خنزير مملح
der schlitten,سيارة فاخرة
der schlitz,slot
der schluß,نهاية
der schlüssel,key
der schmerz,pain
der schneider,tailor
der schnupfen,flu
der schrank,cupboard
der schreibtisch,desk
